Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
Orientation,media/leisure/orientation-leisure.jpg,,,Examining How Connecticut's Recreational Spaces Reflected Changing Attitudes Toward Leisure Time,9,Hidden,blue,Connecticut,41.65,-72.7,,,,
"Candlewood Lake, New Milford CT",media/leisure/candlewood-lake.jpg,Candlewood Lake. Source: Library of Congress Prints and Photographs Division,,Candlewood Lake. Source: Library of Congress Prints and Photographs Division<br><br><a href='' target='_blank'>Directions on Google Maps</a>,14,Numbered,blue,"199 Old Town Park Rd, New Milford, CT 06776",41.532885,-73.437502,,,,
"Quassy Amusement Park, Middlebury CT",media/leisure/quassy-park.jpg,"The Midway, Lake Quassapaug, Middlebury. Source: Middlebury Historical Society",,"The Midway, Lake Quassapaug, Middlebury. Source: Middlebury Historical Society<br><br><a href='' target='_blank'>Directions on Google Maps</a>",14,Numbered,blue,"2132 Middlebury Rd, Middlebury, CT 06762",41.526915,-73.150413,,,,
"Palace Theater, Waterbury CT",media/leisure/palace-theater.jpg,Palace Theater Lobby. ,,Palace Theater Lobby. <br><br><a href='' target='_blank'>Directions on Google Maps</a>,14,Numbered,blue,"100 E Main St, Waterbury, CT 06702",41.55521,-73.0392909,,,,
"Lake Compounce, Bristol CT",media/leisure/lake-compounce.jpg,Entrance to Lake Compounce (c. 1930--1945). ,,Entrance to Lake Compounce (c. 1930--1945). <br><br><a href='' target='_blank'>Directions on Google Maps</a>,14,Numbered,blue,"185 Enterprise Dr, Bristol, CT 06010",41.649622,-72.9093745,,,,
"Elizabeth Park Conservancy, Hartford CT",media/leisure/elizabeth-park.jpg,Elizabeth Park. ,,Elizabeth Park. <br><br><a href='' target='_blank'>Directions on Google Maps</a>,14,Numbered,blue,"1561 Asylum Ave, Hartford, CT 06105",41.7762661,-72.7181535,,,,
"Wadsworth Atheneum, Hartford CT",media/leisure/wadsworth-atheneum.jpg,Wadsworth Atheneum (1907?). Source: Library of Congress Prints and Photographs Division,,Wadsworth Atheneum (1907?). Source: Library of Congress Prints and Photographs Division<br><br><a href='' target='_blank'>Directions on Google Maps</a>,14,Numbered,blue,"600 Main St, Hartford CT 06103",41.7636438,-72.6730446,,,,
"Goodspeed Opera House, East Haddam CT",media/leisure/goodspeed-opera.jpg,View from the Connecticut River of the Goodspeed Opera House. Source: Library of Congress Prints and Photographs Division,,View from the Connecticut River of the Goodspeed Opera House. Source: Library of Congress Prints and Photographs Division<br><br><a href='' target='_blank'>Directions on Google Maps</a>,14,Numbered,blue,"6 Main St, East Haddam, CT 06423",41.4517692,-72.4625672,,,,
"Ivoryton Playhouse, Essex CT",media/leisure/ivoryton-playhouse.jpg,"Ivoryton Playhouse. Source: John Phelan, Creative Commons",,"Ivoryton Playhouse. Source: John Phelan, Creative Commons<br><br><a href='' target='_blank'>Directions on Google Maps</a>",14,Numbered,blue,"103 Main St, Ivoryton, CT 06442",41.3486547,-72.4422267,,,,
"Rocky Neck State Park, Niantic CT",media/leisure/rocky-neck.jpg,"Rocky Neck State Park West Shore. Source: Bjituron, Creative Commons",,"Rocky Neck State Park West Shore. Source: Bjituron, Creative Commons<br><br><a href='' target='_blank'>Directions on Google Maps</a>",14,Numbered,blue,"244 W Main St, Niantic, CT 06357",41.3162131,-72.2408831,,,,
"Hammonasset Beach State Park, Madison CT",media/leisure/hammonasset-beach.jpg,Hamonasset Beach State Park. Source: Creative Commons,,Hamonasset Beach State Park. Source: Creative Commons<br><br><a href='' target='_blank'>Directions on Google Maps</a>,14,Numbered,blue,"1288 Boston Post Rd, Madison, CT 06443",41.2697656,-72.5590716,,,,
"Savin Rock Park, West Haven CT",media/leisure/savin-rock.jpg,"Beach Street at night, Savon Rock, Conn (c.1930-1945). ",,"Beach Street at night, Savon Rock, Conn (c.1930-1945). <br><br><a href='' target='_blank'>Directions on Google Maps</a>",14,Numbered,blue,"435 Captain Thomas Blvd, West Haven, CT 06516",41.2557633,-72.9562421,,,,